Time, Date, TweetText
11:19 AM,14 Dec 2019,T 3579 - KAL .. AAJ .. aur .. KAL  !  worked with the Father   then with the Son   and now the Grandson ..  The family - simple   hard working & bringing world class effects .. Late actor Habib Ali Moghul ; Action Director Abbas Ali Moghul ; Action Assistant Arbaaz Ali Moghulpic.twitter.com/zLHt4P2Yfj
11:44 AM,13 Dec 2019,T 3579 -  Yeti yeti yeti ..  ye sardi sar pe beeti ..  tan dhaka  ang dhaka .. dhaka poorn shareer  man ko dhakne se baaz rahe  yahi hai taqreer  ~ ab   Yeti yeti yeti  ये सर्दी सर पे बीती  तन ढका   अंग ढका   ढका पूर्ण शरीर  मन को ढकने से बाज़ रहे   यही है तक़रीर  ~ अबpic.twitter.com/2Xhy59cmjH
9:22 PM,12 Dec 2019,T 3578 -" Before you criticise someone  you should walk a mile in their shoes. That way when you criticise them  you are a mile away from them ..  and you have their shoes. !!" ~ Ef b
2:30 AM,12 Dec 2019,T 3577 - Our children see far beyond our imagination. Aaiye bacchon ke liye kuch aisa karein jisse woh apna kal khud bana sake.  #ApnaKalKhudBanao @stepappai @PTyagi_officialhttps://twitter.com/STEPappai/status/1204770463160786945 …
2:30 AM,12 Dec 2019,T 3577 - @PTyagi_official aur unki team ko @stepappai ke launch ke avsar par dher saari badhaiyaan. Bachon ki padhai ko mazedaar banane ki zimmedari unhone puri mehnat se nibhaayi hai. #STEPApp #ApnaKalKhudBanaohttps://twitter.com/STEPappai/status/1203647583425421312 …
2:30 AM,12 Dec 2019,T 3577 - Bachchon ke kal ki shuruaat hum aaj hi se kar sakte hain sirf ek step ke saath. #STEPapp #ApnaKalKhudBanao @steppappai @PTyagi_officialhttps://twitter.com/STEPappai/status/1203315376177762304 …
8:35 PM,11 Dec 2019,proud of you Niky .. love everhttps://twitter.com/realnikhilnanda/status/1204694045877866496 …
11:25 AM,11 Dec 2019,T 3576 - .. the beauty of work .. minus 14 degrees temp  snow bound .. the Sun and the Moon in their immediate glory .. and the magnificence of pristine Slovakia and its mountain ranges .. 'CHEHRE' shows its work face ..pic.twitter.com/0PDi6Nisnm
2:14 AM,10 Dec 2019,T 3575 - @UNICEFIndia के 70 वर्ष पूरे हो गए  और ये मेरे लिए बड़े गर्व कि बात है । जन्म दिवस की बधाई । @UNICEF ने भारत में बहुत ही सराहनीय और अद्भुत प्रगति की है । एक बच्चे को हम सबसे अच्छा उपहार  ये दे सकते हैं की हम सुनिश्चहित करें  की #ForEveryChild के तहत उसे उसका अधिकार मिले!pic.twitter.com/TzEgbogIot
2:11 AM,10 Dec 2019,T 3575 - Happy birthday @UNICEFIndia proud to be part of #70withYou Over the course of 70 years @UNICEF in India has made remarkable progress and together we can do more. The best gift we can give is to ensure #ForEveryChild  every right.pic.twitter.com/CHKjmtKHxU
